,index,cod_loja,datetime,cod_ap,cod_municipio,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,quarter,ano,mes,categoria_loja,receita_trim1,receita_trim2,receita_trim3,receita_media,receita_ano_passado,cnt_feriados,receita_minha_categoria
1,93.0,4,2018-02-01,3145604003002,3145604,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,30.0,FEATURE_05_VALUE_03,3,0.14198829695754506,0.14367699931977,12.82402161,7.218131947452,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,2,0,46064.16000000001,64706.32000000001,173683.69999999975,94818.05999999992,57029.49,0.0,34970.68196257417
2,95.0,4,2018-03-01,3145604003002,3145604,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,30.0,FEATURE_05_VALUE_03,3,0.14198829695754506,0.14367699931977,12.82402161,7.218131947452,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,3,0,46064.16000000001,64706.32000000001,173683.69999999975,94818.05999999992,168548.70999999982,0.0,41821.36338658147
0,115.0,5,2018-01-01,1600303005010,1600303,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,0,62.49,FEATURE_05_VALUE_03,30,0.10761919863155,0.10308254735258696,325.53112019,1.97294435639267,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,88.1,100.0,100.0,88.5,93.8,1,2018,1,20,173597.75000000006,203650.34,412462.37,263236.82,219199.8199999999,1.0,234713.085175644
1,117.0,5,2018-02-01,1600303005010,1600303,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,0,62.49,FEATURE_05_VALUE_03,30,0.10761919863155,0.10308254735258696,325.53112019,1.97294435639267,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,88.1,100.0,100.0,88.5,93.8,1,2018,2,20,173597.75000000006,203650.34,412462.37,263236.82,250667.70999999985,0.0,181884.19919109024
2,119.0,5,2018-03-01,1600303005010,1600303,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,0,62.49,FEATURE_05_VALUE_03,30,0.10761919863155,0.10308254735258696,325.53112019,1.97294435639267,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,88.1,100.0,100.0,88.5,93.8,1,2018,3,20,173597.75000000006,203650.34,412462.37,263236.82,431426.3899999998,1.0,219108.8286315789
0,139.0,6,2018-01-01,1100304003003,1100304,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,48.96,FEATURE_05_VALUE_03,5,0.226958245458038,0.229355030992275,46.8979348,2.1786255051687897,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,96.9,56.6,0.0,100.0,73.2,79.0,1,2018,1,20,198466.13,278673.62999999995,509867.2299999999,329002.32999999996,224512.07,2.0,234713.085175644
1,141.0,6,2018-02-01,1100304003003,1100304,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,48.96,FEATURE_05_VALUE_03,5,0.226958245458038,0.229355030992275,46.8979348,2.1786255051687897,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,96.9,56.6,0.0,100.0,73.2,79.0,1,2018,2,20,198466.13,278673.62999999995,509867.2299999999,329002.32999999996,298550.28,0.0,181884.19919109024
2,143.0,6,2018-03-01,1100304003003,1100304,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,48.96,FEATURE_05_VALUE_03,5,0.226958245458038,0.229355030992275,46.8979348,2.1786255051687897,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,96.9,56.6,0.0,100.0,73.2,79.0,1,2018,3,20,198466.13,278673.62999999995,509867.2299999999,329002.32999999996,606738.7699999993,0.0,219108.8286315789
0,163.0,7,2018-01-01,1100106003001,1100106,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,39.54,FEATURE_05_VALUE_03,3,0.226480453072209,0.234005576957112,13.92264414,2.14445016297821,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,87.8,100.0,100.0,69.2,86.7,1,2018,1,10,90130.4,102707.51,208279.94000000003,133705.94999999998,74335.57999999999,2.0,107494.8804223901
1,165.0,7,2018-02-01,1100106003001,1100106,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,39.54,FEATURE_05_VALUE_03,3,0.226480453072209,0.234005576957112,13.92264414,2.14445016297821,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,87.8,100.0,100.0,69.2,86.7,1,2018,2,10,90130.4,102707.51,208279.94000000003,133705.94999999998,72892.15000000001,0.0,84367.13394908841
2,167.0,7,2018-03-01,1100106003001,1100106,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,39.54,FEATURE_05_VALUE_03,3,0.226480453072209,0.234005576957112,13.92264414,2.14445016297821,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,87.8,100.0,100.0,69.2,86.7,1,2018,3,10,90130.4,102707.51,208279.94000000003,133705.94999999998,201678.73,0.0,101601.59410732712
0,187.0,8,2018-01-01,2706703003002,2706703,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,51.15,FEATURE_05_VALUE_03,9,0.243642559245008,0.23924942732137505,18.36114691,1.56069544589069,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,83.7,94.4,100.0,100.0,94.3,92.9,1,2018,1,10,99713.06,160765.17,208199.58,156225.93666666668,137255.99,1.0,107494.8804223901
1,189.0,8,2018-02-01,2706703003002,2706703,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,51.15,FEATURE_05_VALUE_03,9,0.243642559245008,0.23924942732137505,18.36114691,1.56069544589069,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,83.7,94.4,100.0,100.0,94.3,92.9,1,2018,2,10,99713.06,160765.17,208199.58,156225.93666666668,155568.94000000006,0.0,84367.13394908841
2,191.0,8,2018-03-01,2706703003002,2706703,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,51.15,FEATURE_05_VALUE_03,9,0.243642559245008,0.23924942732137505,18.36114691,1.56069544589069,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,83.7,94.4,100.0,100.0,94.3,92.9,1,2018,3,10,99713.06,160765.17,208199.58,156225.93666666668,240920.8,0.0,101601.59410732712
0,211.0,9,2018-01-01,2704302004017,2704302,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,0,61.0,FEATURE_05_VALUE_06,9,0.18825544276392486,0.19117935727112195,461.35374554,3.45244941421798,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,89.9,100.0,100.0,86.6,93.7,1,2018,1,20,290146.36999999994,401636.62,564039.9799999996,418607.65666666656,293419.90999999986,1.0,234713.085175644
1,213.0,9,2018-02-01,2704302004017,2704302,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,0,61.0,FEATURE_05_VALUE_06,9,0.18825544276392486,0.19117935727112195,461.35374554,3.45244941421798,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,89.9,100.0,100.0,86.6,93.7,1,2018,2,20,290146.36999999994,401636.62,564039.9799999996,418607.65666666656,323410.58,0.0,181884.19919109024
2,215.0,9,2018-03-01,2704302004017,2704302,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,0,61.0,FEATURE_05_VALUE_06,9,0.18825544276392486,0.19117935727112195,461.35374554,3.45244941421798,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,89.9,100.0,100.0,86.6,93.7,1,2018,3,20,290146.36999999994,401636.62,564039.9799999996,418607.65666666656,602333.2099999997,0.0,219108.8286315789
0,232.0,11,2018-01-01,2933307005002,2933307,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,0,26.43,FEATURE_05_VALUE_03,2,0.134654243381425,0.131481348728959,116.19405798,2.9134982373335694,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,1,10,12623.4,23039.86,30518.110000000004,22060.45666666667,161709.32,1.0,107494.8804223901
1,234.0,11,2018-02-01,2933307005002,2933307,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,0,26.43,FEATURE_05_VALUE_03,2,0.134654243381425,0.131481348728959,116.19405798,2.9134982373335694,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,2,10,12623.4,23039.86,30518.110000000004,22060.45666666667,197245.1599999999,0.0,84367.13394908841
2,236.0,11,2018-03-01,2933307005002,2933307,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,0,26.43,FEATURE_05_VALUE_03,2,0.134654243381425,0.131481348728959,116.19405798,2.9134982373335694,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,3,10,12623.4,23039.86,30518.110000000004,22060.45666666667,336761.3599999997,0.0,101601.59410732712
0,256.0,12,2018-01-01,2928109003001,2928109,FEATURE_01_VALUE_08,FEATURE_02_VALUE_06,0,34.1,FEATURE_05_VALUE_03,6,0.17897016216997105,0.17111978185249302,9.46890176,2.39263069745185,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,1,0,54625.46000000001,65264.41,104343.08,74744.31666666667,67892.12000000001,1.0,45986.62604746691
1,258.0,12,2018-02-01,2928109003001,2928109,FEATURE_01_VALUE_08,FEATURE_02_VALUE_06,0,34.1,FEATURE_05_VALUE_03,6,0.17897016216997105,0.17111978185249302,9.46890176,2.39263069745185,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,2,0,54625.46000000001,65264.41,104343.08,74744.31666666667,65777.85,0.0,34970.68196257417
2,260.0,12,2018-03-01,2928109003001,2928109,FEATURE_01_VALUE_08,FEATURE_02_VALUE_06,0,34.1,FEATURE_05_VALUE_03,6,0.17897016216997105,0.17111978185249302,9.46890176,2.39263069745185,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,3,0,54625.46000000001,65264.41,104343.08,74744.31666666667,106712.51,0.0,41821.36338658147
0,280.0,14,2018-01-01,2606002003002,2606002,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,26.85,FEATURE_05_VALUE_03,14,0.111534127087854,0.123611767484929,54.13831965,2.1905964994267904,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,1,10,82070.06999999999,122384.8,239380.81,147945.22666666665,96308.15,1.0,107494.8804223901
1,282.0,14,2018-02-01,2606002003002,2606002,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,26.85,FEATURE_05_VALUE_03,14,0.111534127087854,0.123611767484929,54.13831965,2.1905964994267904,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,2,10,82070.06999999999,122384.8,239380.81,147945.22666666665,87105.24999999999,0.0,84367.13394908841
2,284.0,14,2018-03-01,2606002003002,2606002,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,26.85,FEATURE_05_VALUE_03,14,0.111534127087854,0.123611767484929,54.13831965,2.1905964994267904,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,3,10,82070.06999999999,122384.8,239380.81,147945.22666666665,171411.38999999998,0.0,101601.59410732712
0,304.0,15,2018-01-01,2601201003003,2601201,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,36.65,FEATURE_05_VALUE_03,6,0.113204658556093,0.13116639622362,30.2052081,2.75387263339071,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,96.9,78.1,100.0,100.0,93.8,93.3,1,2018,1,10,108090.89,155214.68,221015.27,161440.28,127520.94999999998,1.0,107494.8804223901
1,306.0,15,2018-02-01,2601201003003,2601201,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,36.65,FEATURE_05_VALUE_03,6,0.113204658556093,0.13116639622362,30.2052081,2.75387263339071,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,96.9,78.1,100.0,100.0,93.8,93.3,1,2018,2,10,108090.89,155214.68,221015.27,161440.28,146983.45999999993,0.0,84367.13394908841
2,308.0,15,2018-03-01,2601201003003,2601201,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,36.65,FEATURE_05_VALUE_03,6,0.113204658556093,0.13116639622362,30.2052081,2.75387263339071,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,96.9,78.1,100.0,100.0,93.8,93.3,1,2018,3,10,108090.89,155214.68,221015.27,161440.28,261893.0399999997,0.0,101601.59410732712
0,328.0,17,2018-01-01,2907509003001,2907509,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,29.4,FEATURE_05_VALUE_03,4,0.163328238612576,0.151976709736958,18.18524169,1.79471993395431,FEATURE_11_VALUE_02,FEATURE_12_VALUE_02,100.0,89.2,66.7,100.0,100.0,97.1,1,2018,1,10,93636.24,132174.51,172223.05999999994,132677.93666666665,109083.71,1.0,107494.8804223901
1,330.0,17,2018-02-01,2907509003001,2907509,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,29.4,FEATURE_05_VALUE_03,4,0.163328238612576,0.151976709736958,18.18524169,1.79471993395431,FEATURE_11_VALUE_02,FEATURE_12_VALUE_02,100.0,89.2,66.7,100.0,100.0,97.1,1,2018,2,10,93636.24,132174.51,172223.05999999994,132677.93666666665,123338.65,0.0,84367.13394908841
2,332.0,17,2018-03-01,2907509003001,2907509,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,29.4,FEATURE_05_VALUE_03,4,0.163328238612576,0.151976709736958,18.18524169,1.79471993395431,FEATURE_11_VALUE_02,FEATURE_12_VALUE_02,100.0,89.2,66.7,100.0,100.0,97.1,1,2018,3,10,93636.24,132174.51,172223.05999999994,132677.93666666665,195893.92999999985,0.0,101601.59410732712
0,352.0,18,2018-01-01,2922508001001,2922508,FEATURE_01_VALUE_08,FEATURE_02_VALUE_04,0,39.0,FEATURE_05_VALUE_03,4,0.104162103532515,0.0878070999373564,9.45164596,3.400666530640009,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,82.9,100.0,100.0,88.5,93.5,1,2018,1,0,44348.86,59222.77,101140.5,68237.37666666666,48879.85000000001,1.0,45986.62604746691
1,354.0,18,2018-02-01,2922508001001,2922508,FEATURE_01_VALUE_08,FEATURE_02_VALUE_04,0,39.0,FEATURE_05_VALUE_03,4,0.104162103532515,0.0878070999373564,9.45164596,3.400666530640009,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,82.9,100.0,100.0,88.5,93.5,1,2018,2,0,44348.86,59222.77,101140.5,68237.37666666666,38218.32,0.0,34970.68196257417
2,356.0,18,2018-03-01,2922508001001,2922508,FEATURE_01_VALUE_08,FEATURE_02_VALUE_04,0,39.0,FEATURE_05_VALUE_03,4,0.104162103532515,0.0878070999373564,9.45164596,3.400666530640009,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,82.9,100.0,100.0,88.5,93.5,1,2018,3,0,44348.86,59222.77,101140.5,68237.37666666666,96853.63999999998,0.0,41821.36338658147
0,376.0,19,2018-01-01,2909802003003,2909802,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,29.0,FEATURE_05_VALUE_03,5,0.104162103532515,0.0878070999373564,21.61351082,1.55770518871598,FEATURE_11_VALUE_06,FEATURE_12_VALUE_02,100.0,84.1,100.0,100.0,71.8,87.1,1,2018,1,10,112933.01,139319.24000000002,234231.31999999983,162161.18999999994,138892.66999999998,1.0,107494.8804223901
1,378.0,19,2018-02-01,2909802003003,2909802,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,29.0,FEATURE_05_VALUE_03,5,0.104162103532515,0.0878070999373564,21.61351082,1.55770518871598,FEATURE_11_VALUE_06,FEATURE_12_VALUE_02,100.0,84.1,100.0,100.0,71.8,87.1,1,2018,2,10,112933.01,139319.24000000002,234231.31999999983,162161.18999999994,139201.34000000005,0.0,84367.13394908841
2,380.0,19,2018-03-01,2909802003003,2909802,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,29.0,FEATURE_05_VALUE_03,5,0.104162103532515,0.0878070999373564,21.61351082,1.55770518871598,FEATURE_11_VALUE_06,FEATURE_12_VALUE_02,100.0,84.1,100.0,100.0,71.8,87.1,1,2018,3,10,112933.01,139319.24000000002,234231.31999999983,162161.18999999994,243533.98999999985,0.0,101601.59410732712
0,400.0,20,2018-01-01,2903201003003,2903201,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,49.65,FEATURE_05_VALUE_03,6,0.217500440586027,0.204703612540212,51.87107068,3.2484829584584,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,96.9,88.4,0.0,100.0,86.6,89.2,1,2018,1,10,141621.53,209405.66,336969.1099999997,229332.0999999999,166112.26,1.0,107494.8804223901
1,402.0,20,2018-02-01,2903201003003,2903201,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,49.65,FEATURE_05_VALUE_03,6,0.217500440586027,0.204703612540212,51.87107068,3.2484829584584,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,96.9,88.4,0.0,100.0,86.6,89.2,1,2018,2,10,141621.53,209405.66,336969.1099999997,229332.0999999999,210450.5699999999,0.0,84367.13394908841
2,404.0,20,2018-03-01,2903201003003,2903201,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,49.65,FEATURE_05_VALUE_03,6,0.217500440586027,0.204703612540212,51.87107068,3.2484829584584,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,96.9,88.4,0.0,100.0,86.6,89.2,1,2018,3,10,141621.53,209405.66,336969.1099999997,229332.0999999999,356329.9399999997,0.0,101601.59410732712
0,424.0,22,2018-01-01,2904605003002,2904605,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,35.35,FEATURE_05_VALUE_03,5,0.16781647680351094,0.15684944979229298,19.10111099,1.44393906577142,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,1,10,121428.86999999998,148858.3,239391.82999999987,169892.99999999997,126936.82,1.0,107494.8804223901
1,426.0,22,2018-02-01,2904605003002,2904605,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,35.35,FEATURE_05_VALUE_03,5,0.16781647680351094,0.15684944979229298,19.10111099,1.44393906577142,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,2,10,121428.86999999998,148858.3,239391.82999999987,169892.99999999997,138926.12999999998,0.0,84367.13394908841
2,428.0,22,2018-03-01,2904605003002,2904605,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,35.35,FEATURE_05_VALUE_03,5,0.16781647680351094,0.15684944979229298,19.10111099,1.44393906577142,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,3,10,121428.86999999998,148858.3,239391.82999999987,169892.99999999997,266533.5099999999,0.0,101601.59410732712
0,448.0,23,2018-01-01,2910800004014,2910800,FEATURE_01_VALUE_08,FEATURE_02_VALUE_02,0,48.5,FEATURE_05_VALUE_03,7,0.14705985653789902,0.13863677873888094,222.33668762,1.61935976992136,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,1,20,193039.58999999988,291849.6399999999,377642.9299999995,287510.71999999974,124631.19999999998,1.0,234713.085175644
1,450.0,23,2018-02-01,2910800004014,2910800,FEATURE_01_VALUE_08,FEATURE_02_VALUE_02,0,48.5,FEATURE_05_VALUE_03,7,0.14705985653789902,0.13863677873888094,222.33668762,1.61935976992136,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,2,20,193039.58999999988,291849.6399999999,377642.9299999995,287510.71999999974,176894.93000000005,0.0,181884.19919109024
2,452.0,23,2018-03-01,2910800004014,2910800,FEATURE_01_VALUE_08,FEATURE_02_VALUE_02,0,48.5,FEATURE_05_VALUE_03,7,0.14705985653789902,0.13863677873888094,222.33668762,1.61935976992136,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,3,20,193039.58999999988,291849.6399999999,377642.9299999995,287510.71999999974,426858.69,0.0,219108.8286315789
0,472.0,24,2018-01-01,2503704003003,2503704,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,47.0,FEATURE_05_VALUE_03,9,0.16879933575036202,0.180555502115072,23.48771633,1.62784262017548,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,1,10,94001.77,239126.7,220836.27,184654.91333333333,129113.23,1.0,107494.8804223901
1,474.0,24,2018-02-01,2503704003003,2503704,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,47.0,FEATURE_05_VALUE_03,9,0.16879933575036202,0.180555502115072,23.48771633,1.62784262017548,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,2,10,94001.77,239126.7,220836.27,184654.91333333333,152664.63,0.0,84367.13394908841
2,476.0,24,2018-03-01,2503704003003,2503704,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,0,47.0,FEATURE_05_VALUE_03,9,0.16879933575036202,0.180555502115072,23.48771633,1.62784262017548,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,3,10,94001.77,239126.7,220836.27,184654.91333333333,237320.55999999988,0.0,101601.59410732712
0,496.0,25,2018-01-01,2510808003005,2510808,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,41.0,FEATURE_05_VALUE_03,4,0.196939586945641,0.25912977693074496,48.00713988,1.88121978290724,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,88.8,100.0,100.0,75.0,89.0,1,2018,1,10,138544.94,197925.94,219646.0999999999,185372.32666666663,172108.87999999998,1.0,107494.8804223901
1,498.0,25,2018-02-01,2510808003005,2510808,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,41.0,FEATURE_05_VALUE_03,4,0.196939586945641,0.25912977693074496,48.00713988,1.88121978290724,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,88.8,100.0,100.0,75.0,89.0,1,2018,2,10,138544.94,197925.94,219646.0999999999,185372.32666666663,266993.46999999986,0.0,84367.13394908841
