cod_loja,mes,receita
867,8,13134.859804822074
867,9,10778.511206473766
867,10,11342.067813163489
867,11,13477.356891585761
867,12,27187.683338681207
903,1,10893.279890891057
903,2,8791.872915375818
903,3,10646.421111475403
903,4,10701.937021835483
903,5,15898.27278833545
903,6,12918.300827067678
903,7,10049.985088036827
903,8,13134.859804822074
903,9,10778.511206473766
903,10,11342.067813163489
903,11,13477.356891585761
903,12,27187.683338681207
1065,1,10893.279890891057
1065,2,8791.872915375818
1065,3,10646.421111475403
1065,4,10701.937021835483
1065,5,15898.27278833545
1065,6,12918.300827067678
1065,7,10049.985088036827
1065,8,13134.859804822074
1065,9,10778.511206473766
1065,10,11342.067813163489
1065,11,13477.356891585761
1065,12,27187.683338681207
1234,1,10893.279890891057
1234,2,8791.872915375818
1234,3,10646.421111475403
1234,4,10701.937021835483
1234,5,15898.27278833545
1234,6,12918.300827067678
1234,7,10049.985088036827
1234,8,13134.859804822074
1234,9,10778.511206473766
1234,10,11342.067813163489
1234,11,13477.356891585761
1234,12,27187.683338681207
1267,1,10893.279890891057
1267,2,8791.872915375818
1267,3,10646.421111475403
1267,4,10701.937021835483
1267,5,15898.27278833545
1267,6,12918.300827067678
1267,7,10049.985088036827
1267,8,13134.859804822074
1267,9,10778.511206473766
1267,10,11342.067813163489
1267,11,13477.356891585761
1267,12,27187.683338681207
1322,1,10893.279890891057
1322,2,8791.872915375818
1322,3,10646.421111475403
1322,4,10701.937021835483
1322,5,15898.27278833545
1322,6,12918.300827067678
1322,7,10049.985088036827
1322,8,13134.859804822074
1322,9,10778.511206473766
1322,10,11342.067813163489
1322,11,13477.356891585761
1322,12,27187.683338681207
1361,1,10893.279890891057
1361,2,8791.872915375818
1361,3,10646.421111475403
1361,4,10701.937021835483
1361,5,15898.27278833545
1361,6,12918.300827067678
1361,7,10049.985088036827
1361,8,13134.859804822074
1361,9,10778.511206473766
1361,10,11342.067813163489
1361,11,13477.356891585761
1361,12,27187.683338681207
1419,1,10893.279890891057
1419,2,8791.872915375818
1419,3,10646.421111475403
1419,4,10701.937021835483
1419,5,15898.27278833545
1419,6,12918.300827067678
1419,7,10049.985088036827
1419,8,13134.859804822074
1419,9,10778.511206473766
1419,10,11342.067813163489
1419,11,13477.356891585761
1419,12,27187.683338681207
1452,1,10893.279890891057
1452,2,8791.872915375818
1452,3,10646.421111475403
1452,4,10701.937021835483
1452,5,15898.27278833545
1452,6,12918.300827067678
1452,7,10049.985088036827
1452,8,13134.859804822074
1452,9,10778.511206473766
1452,10,11342.067813163489
1452,11,13477.356891585761
1452,12,27187.683338681207
1462,1,10893.279890891057
1462,2,8791.872915375818
1462,3,10646.421111475403
1462,4,10701.937021835483
1462,5,15898.27278833545
1462,6,12918.300827067678
1462,7,10049.985088036827
1462,8,13134.859804822074
1462,9,10778.511206473766
1462,10,11342.067813163489
1462,11,13477.356891585761
1462,12,27187.683338681207
1485,1,10893.279890891057
1485,2,8791.872915375818
1485,3,10646.421111475403
1485,4,10701.937021835483
1485,5,15898.27278833545
1485,6,12918.300827067678
1485,7,10049.985088036827
1485,8,13134.859804822074
1485,9,10778.511206473766
1485,10,11342.067813163489
1485,11,13477.356891585761
1485,12,27187.683338681207
1507,1,10893.279890891057
1507,2,8791.872915375818
1507,3,10646.421111475403
1507,4,10701.937021835483
1507,5,15898.27278833545
1507,6,12918.300827067678
1507,7,10049.985088036827
1507,8,13134.859804822074
1507,9,10778.511206473766
1507,10,11342.067813163489
1507,11,13477.356891585761
1507,12,27187.683338681207
1518,1,10893.279890891057
1518,2,8791.872915375818
1518,3,10646.421111475403
1518,4,10701.937021835483
1518,5,15898.27278833545
1518,6,12918.300827067678
1518,7,10049.985088036827
1518,8,13134.859804822074
1518,9,10778.511206473766
1518,10,11342.067813163489
1518,11,13477.356891585761
1518,12,27187.683338681207
1551,1,10893.279890891057
1551,2,8791.872915375818
1551,3,10646.421111475403
1551,4,10701.937021835483
1551,5,15898.27278833545
1551,6,12918.300827067678
1551,7,10049.985088036827
1551,8,13134.859804822074
1551,9,10778.511206473766
1551,10,11342.067813163489
1551,11,13477.356891585761
1551,12,27187.683338681207
1686,1,10893.279890891057
1686,2,8791.872915375818
1686,3,10646.421111475403
1686,4,10701.937021835483
1686,5,15898.27278833545
1686,6,12918.300827067678
1686,7,10049.985088036827
1686,8,13134.859804822074
1686,9,10778.511206473766
1686,10,11342.067813163489
1686,11,13477.356891585761
1686,12,27187.683338681207
1734,1,10893.279890891057
1734,2,8791.872915375818
1734,3,10646.421111475403
1734,4,10701.937021835483
1734,5,15898.27278833545
1734,6,12918.300827067678
1734,7,10049.985088036827
1734,8,13134.859804822074
1734,9,10778.511206473766
1734,10,11342.067813163489
1734,11,13477.356891585761
1734,12,27187.683338681207
1754,1,10893.279890891057
1754,2,8791.872915375818
1754,3,10646.421111475403
1754,4,10701.937021835483
1754,5,15898.27278833545
1754,6,12918.300827067678
1754,7,10049.985088036827
1754,8,13134.859804822074
1754,9,10778.511206473766
1754,10,11342.067813163489
1754,11,13477.356891585761
1754,12,27187.683338681207
1757,1,10893.279890891057
1757,2,8791.872915375818
1757,3,10646.421111475403
1757,4,10701.937021835483
1757,5,15898.27278833545
1757,6,12918.300827067678
1757,7,10049.985088036827
1757,8,13134.859804822074
1757,9,10778.511206473766
1757,10,11342.067813163489
1757,11,13477.356891585761
1757,12,27187.683338681207
1787,1,10893.279890891057
1787,2,8791.872915375818
1787,3,10646.421111475403
1787,4,10701.937021835483
1787,5,15898.27278833545
1787,6,12918.300827067678
1787,7,10049.985088036827
1787,8,13134.859804822074
1787,9,10778.511206473766
1787,10,11342.067813163489
1787,11,13477.356891585761
1787,12,27187.683338681207
1890,1,10893.279890891057
1890,2,8791.872915375818
1890,3,10646.421111475403
1890,4,10701.937021835483
1890,5,15898.27278833545
1890,6,12918.300827067678
1890,7,10049.985088036827
1890,8,13134.859804822074
1890,9,10778.511206473766
1890,10,11342.067813163489
1890,11,13477.356891585761
1890,12,27187.683338681207
1896,1,10893.279890891057
1896,2,8791.872915375818
1896,3,10646.421111475403
1896,4,10701.937021835483
1896,5,15898.27278833545
1896,6,12918.300827067678
1896,7,10049.985088036827
1896,8,13134.859804822074
1896,9,10778.511206473766
1896,10,11342.067813163489
1896,11,13477.356891585761
1896,12,27187.683338681207
1919,1,10893.279890891057
1919,2,8791.872915375818
1919,3,10646.421111475403
1919,4,10701.937021835483
1919,5,15898.27278833545
1919,6,12918.300827067678
1919,7,10049.985088036827
1919,8,13134.859804822074
1919,9,10778.511206473766
1919,10,11342.067813163489
1919,11,13477.356891585761
1919,12,27187.683338681207
2028,1,10893.279890891057
2028,2,8791.872915375818
2028,3,10646.421111475403
2028,4,10701.937021835483
2028,5,15898.27278833545
2028,6,12918.300827067678
2028,7,10049.985088036827
2028,8,13134.859804822074
2028,9,10778.511206473766
2028,10,11342.067813163489
2028,11,13477.356891585761
2028,12,27187.683338681207
2072,1,10893.279890891057
2072,2,8791.872915375818
2072,3,10646.421111475403
2072,4,10701.937021835483
2072,5,15898.27278833545
2072,6,12918.300827067678
2072,7,10049.985088036827
2072,8,13134.859804822074
2072,9,10778.511206473766
2072,10,11342.067813163489
2072,11,13477.356891585761
2072,12,27187.683338681207
2201,1,10893.279890891057
2201,2,8791.872915375818
2201,3,10646.421111475403
2201,4,10701.937021835483
2201,5,15898.27278833545
2201,6,12918.300827067678
2201,7,10049.985088036827
2201,8,13134.859804822074
2201,9,10778.511206473766
2201,10,11342.067813163489
2201,11,13477.356891585761
2201,12,27187.683338681207
2236,1,10893.279890891057
2236,2,8791.872915375818
2236,3,10646.421111475403
2236,4,10701.937021835483
2236,5,15898.27278833545
2236,6,12918.300827067678
2236,7,10049.985088036827
2236,8,13134.859804822074
2236,9,10778.511206473766
2236,10,11342.067813163489
2236,11,13477.356891585761
2236,12,27187.683338681207
2250,1,10893.279890891057
2250,2,8791.872915375818
2250,3,10646.421111475403
2250,4,10701.937021835483
2250,5,15898.27278833545
2250,6,12918.300827067678
2250,7,10049.985088036827
2250,8,13134.859804822074
2250,9,10778.511206473766
2250,10,11342.067813163489
2250,11,13477.356891585761
2250,12,27187.683338681207
2277,1,10893.279890891057
2277,2,8791.872915375818
2277,3,10646.421111475403
2277,4,10701.937021835483
2277,5,15898.27278833545
2277,6,12918.300827067678
2277,7,10049.985088036827
2277,8,13134.859804822074
2277,9,10778.511206473766
2277,10,11342.067813163489
2277,11,13477.356891585761
2277,12,27187.683338681207
2481,1,10893.279890891057
2481,2,8791.872915375818
2481,3,10646.421111475403
2481,4,10701.937021835483
2481,5,15898.27278833545
2481,6,12918.300827067678
2481,7,10049.985088036827
2481,8,13134.859804822074
2481,9,10778.511206473766
2481,10,11342.067813163489
2481,11,13477.356891585761
2481,12,27187.683338681207
2537,1,10893.279890891057
2537,2,8791.872915375818
2537,3,10646.421111475403
2537,4,10701.937021835483
2537,5,15898.27278833545
2537,6,12918.300827067678
2537,7,10049.985088036827
2537,8,13134.859804822074
2537,9,10778.511206473766
2537,10,11342.067813163489
2537,11,13477.356891585761
2537,12,27187.683338681207
2550,1,10893.279890891057
2550,2,8791.872915375818
2550,3,10646.421111475403
2550,4,10701.937021835483
2550,5,15898.27278833545
2550,6,12918.300827067678
2550,7,10049.985088036827
2550,8,13134.859804822074
2550,9,10778.511206473766
2550,10,11342.067813163489
2550,11,13477.356891585761
2550,12,27187.683338681207
2585,1,10893.279890891057
2585,2,8791.872915375818
2585,3,10646.421111475403
2585,4,10701.937021835483
2585,5,15898.27278833545
2585,6,12918.300827067678
2585,7,10049.985088036827
2585,8,13134.859804822074
2585,9,10778.511206473766
2585,10,11342.067813163489
2585,11,13477.356891585761
2585,12,27187.683338681207
2673,1,10893.279890891057
2673,2,8791.872915375818
2673,3,10646.421111475403
2673,4,10701.937021835483
2673,5,15898.27278833545
2673,6,12918.300827067678
2673,7,10049.985088036827
2673,8,13134.859804822074
2673,9,10778.511206473766
2673,10,11342.067813163489
2673,11,13477.356891585761
2673,12,27187.683338681207
2910,1,10893.279890891057
2910,2,8791.872915375818
2910,3,10646.421111475403
2910,4,10701.937021835483
2910,5,15898.27278833545
2910,6,12918.300827067678
2910,7,10049.985088036827
2910,8,13134.859804822074
2910,9,10778.511206473766
2910,10,11342.067813163489
2910,11,13477.356891585761
2910,12,27187.683338681207
2945,1,10893.279890891057
2945,2,8791.872915375818
2945,3,10646.421111475403
2945,4,10701.937021835483
2945,5,15898.27278833545
2945,6,12918.300827067678
2945,7,10049.985088036827
2945,8,13134.859804822074
2945,9,10778.511206473766
2945,10,11342.067813163489
2945,11,13477.356891585761
2945,12,27187.683338681207
3186,1,10893.279890891057
3186,2,8791.872915375818
3186,3,10646.421111475403
3186,4,10701.937021835483
3186,5,15898.27278833545
3186,6,12918.300827067678
3186,7,10049.985088036827
3186,8,13134.859804822074
3186,9,10778.511206473766
3186,10,11342.067813163489
3186,11,13477.356891585761
3186,12,27187.683338681207
3208,1,10893.279890891057
3208,2,8791.872915375818
3208,3,10646.421111475403
3208,4,10701.937021835483
3208,5,15898.27278833545
3208,6,12918.300827067678
3208,7,10049.985088036827
3208,8,13134.859804822074
3208,9,10778.511206473766
3208,10,11342.067813163489
3208,11,13477.356891585761
3208,12,27187.683338681207
3252,1,10893.279890891057
3252,2,8791.872915375818
3252,3,10646.421111475403
3252,4,10701.937021835483
3252,5,15898.27278833545
3252,6,12918.300827067678
3252,7,10049.985088036827
3252,8,13134.859804822074
3252,9,10778.511206473766
3252,10,11342.067813163489
3252,11,13477.356891585761
3252,12,27187.683338681207
3261,1,10893.279890891057
3261,2,8791.872915375818
3261,3,10646.421111475403
3261,4,10701.937021835483
3261,5,15898.27278833545
3261,6,12918.300827067678
3261,7,10049.985088036827
3261,8,13134.859804822074
3261,9,10778.511206473766
3261,10,11342.067813163489
3261,11,13477.356891585761
3261,12,27187.683338681207
3274,1,10893.279890891057
3274,2,8791.872915375818
3274,3,10646.421111475403
3274,4,10701.937021835483
3274,5,15898.27278833545
3274,6,12918.300827067678
3274,7,10049.985088036827
3274,8,13134.859804822074
3274,9,10778.511206473766
3274,10,11342.067813163489
3274,11,13477.356891585761
3274,12,27187.683338681207
3340,1,10893.279890891057
3340,2,8791.872915375818
3340,3,10646.421111475403
3340,4,10701.937021835483
3340,5,15898.27278833545
3340,6,12918.300827067678
3340,7,10049.985088036827
3340,8,13134.859804822074
3340,9,10778.511206473766
3340,10,11342.067813163489
3340,11,13477.356891585761
3340,12,27187.683338681207
3359,1,10893.279890891057
3359,2,8791.872915375818
3359,3,10646.421111475403
3359,4,10701.937021835483
3359,5,15898.27278833545
3359,6,12918.300827067678
3359,7,10049.985088036827
3359,8,13134.859804822074
3359,9,10778.511206473766
3359,10,11342.067813163489
3359,11,13477.356891585761
3359,12,27187.683338681207
3475,1,10893.279890891057
3475,2,8791.872915375818
3475,3,10646.421111475403
3475,4,10701.937021835483
3475,5,15898.27278833545
3475,6,12918.300827067678
3475,7,10049.985088036827
3475,8,13134.859804822074
3475,9,10778.511206473766
3475,10,11342.067813163489
3475,11,13477.356891585761
3475,12,27187.683338681207
3617,1,10893.279890891057
3617,2,8791.872915375818
3617,3,10646.421111475403
3617,4,10701.937021835483
3617,5,15898.27278833545
3617,6,12918.300827067678
3617,7,10049.985088036827
3617,8,13134.859804822074
3617,9,10778.511206473766
3617,10,11342.067813163489
3617,11,13477.356891585761
3617,12,27187.683338681207
41,1,5602.724248366015
41,2,4623.057414965989
41,3,5349.589560810812
41,4,5247.2183601286115
41,5,8027.085392156865
41,6,6814.950999999997
41,7,5189.474326923076
41,8,7022.271961414788
41,9,5492.305384615384
41,10,6021.929158576048
41,11,6828.420926517576
41,12,16479.92407407408
1089,1,5602.724248366015
1089,2,4623.057414965989
1089,3,5349.589560810812
1089,4,5247.2183601286115
1089,5,8027.085392156865
1089,6,6814.950999999997
1089,7,5189.474326923076
1089,8,7022.271961414788
1089,9,5492.305384615384
1089,10,6021.929158576048
1089,11,6828.420926517576
1089,12,16479.92407407408
1196,1,5602.724248366015
1196,2,4623.057414965989
1196,3,5349.589560810812
1196,4,5247.2183601286115
1196,5,8027.085392156865
1196,6,6814.950999999997
1196,7,5189.474326923076
1196,8,7022.271961414788
1196,9,5492.305384615384
1196,10,6021.929158576048
1196,11,6828.420926517576
1196,12,16479.92407407408
55,1,4430.994324324323
55,2,3715.1353636363624
55,3,4242.61125
55,4,4579.700370370371
55,5,6810.9270093457935
55,6,5347.766018518521
55,7,4522.989729729732
55,8,6000.162962962962
55,9,4549.2699999999995
55,10,4679.814716981132
55,11,5192.707383177571
55,12,11477.047636363624
1226,1,4430.994324324323
1226,2,3715.1353636363624
1226,3,4242.61125
1226,4,4579.700370370371
1226,5,6810.9270093457935
1226,6,5347.766018518521
1226,7,4522.989729729732
1226,8,6000.162962962962
1226,9,4549.2699999999995
1226,10,4679.814716981132
1226,11,5192.707383177571
1226,12,11477.047636363624
64,1,6746.863181818181
64,2,5636.056846846847
64,3,6675.407090909087
64,4,7095.467500000001
64,5,11149.541651376148
64,6,9769.947567567566
64,7,6815.859099099098
64,8,9134.20944954129
64,9,7459.250909090907
64,10,7468.7917431192645
64,11,8956.963148148145
64,12,23806.176605504592
381,1,6746.863181818181
381,2,5636.056846846847
381,3,6675.407090909087
381,4,7095.467500000001
381,5,11149.541651376148
381,6,9769.947567567566
381,7,6815.859099099098
381,8,9134.20944954129
381,9,7459.250909090907
381,10,7468.7917431192645
381,11,8956.963148148145
381,12,23806.176605504592
2020,1,6746.863181818181
2020,2,5636.056846846847
2020,3,6675.407090909087
2020,4,7095.467500000001
2020,5,11149.541651376148
2020,6,9769.947567567566
2020,7,6815.859099099098
2020,8,9134.20944954129
2020,9,7459.250909090907
2020,10,7468.7917431192645
2020,11,8956.963148148145
2020,12,23806.176605504592
73,1,7591.093653846153
73,2,5214.963396226414
73,3,6742.46218181818
73,4,6143.51574074074
73,5,9926.486346153848
73,6,8629.17471698113
73,7,6880.295471698111
73,8,8889.50148148148
73,9,7068.822857142854
73,10,7593.745576923078
73,11,9915.35909090909
73,12,14504.865999999996
1151,1,7591.093653846153
1151,2,5214.963396226414
1151,3,6742.46218181818
1151,4,6143.51574074074
1151,5,9926.486346153848
1151,6,8629.17471698113
1151,7,6880.295471698111
1151,8,8889.50148148148
1151,9,7068.822857142854
1151,10,7593.745576923078
1151,11,9915.35909090909
1151,12,14504.865999999996
75,1,1725.3477777777775
75,2,1167.698846153846
75,3,1723.4356
75,4,1600.7395999999999
75,5,1775.4762962962964
75,6,1450.789259259259
75,7,1417.9633333333334
75,8,1249.4133333333334
75,9,1158.8916000000002
75,10,1680.3019230769232
75,11,2364.8336
75,12,2465.8623076923077
82,1,7526.001790540535
82,2,5918.542292358801
82,3,7128.27926421404
82,4,7395.305694915244
82,5,11499.452207357856
82,6,9906.851625441705
82,7,7605.047872340422
82,8,9166.921505376342
82,9,7658.914733096087
82,10,7876.582140350881
82,11,9178.97255172414
82,12,19365.141587837847
206,1,7526.001790540535
206,2,5918.542292358801
206,3,7128.27926421404
206,4,7395.305694915244
206,5,11499.452207357856
206,6,9906.851625441705
206,7,7605.047872340422
206,8,9166.921505376342
206,9,7658.914733096087
206,10,7876.582140350881
206,11,9178.97255172414
206,12,19365.141587837847
974,1,7526.001790540535
974,2,5918.542292358801
974,3,7128.27926421404
974,4,7395.305694915244
974,5,11499.452207357856
974,6,9906.851625441705
974,7,7605.047872340422
974,8,9166.921505376342
974,9,7658.914733096087
974,10,7876.582140350881
974,11,9178.97255172414
974,12,19365.141587837847
1007,1,7526.001790540535
1007,2,5918.542292358801
1007,3,7128.27926421404
1007,4,7395.305694915244
1007,5,11499.452207357856
1007,6,9906.851625441705
1007,7,7605.047872340422
1007,8,9166.921505376342
1007,9,7658.914733096087
1007,10,7876.582140350881
1007,11,9178.97255172414
1007,12,19365.141587837847
1760,1,7526.001790540535
1760,2,5918.542292358801
1760,3,7128.27926421404
1760,4,7395.305694915244
1760,5,11499.452207357856
1760,6,9906.851625441705
1760,7,7605.047872340422
1760,8,9166.921505376342
1760,9,7658.914733096087
1760,10,7876.582140350881
1760,11,9178.97255172414
1760,12,19365.141587837847
2321,1,7526.001790540535
2321,2,5918.542292358801
2321,3,7128.27926421404
2321,4,7395.305694915244
2321,5,11499.452207357856
2321,6,9906.851625441705
2321,7,7605.047872340422
2321,8,9166.921505376342
2321,9,7658.914733096087
2321,10,7876.582140350881
2321,11,9178.97255172414
2321,12,19365.141587837847
84,1,4804.921454545454
84,2,3878.491071428571
84,3,4738.004363636365
84,4,4949.180000000001
84,5,6971.4596363636365
84,6,5827.495090909089
84,7,4534.850000000001
84,8,5628.088545454547
84,9,4984.412142857141
84,10,4946.116727272728
84,11,5882.480727272728
84,12,14287.961071428563
87,1,3570.975925925926
87,2,2723.0359259259267
87,3,3070.522222222223
87,4,2990.0042857142857
87,5,4853.818888888888
87,6,3987.7150000000006
87,7,2835.3050000000003
87,8,4496.646785714285
87,9,3746.794074074074
87,10,3077.1735714285714
87,11,4207.075714285714
87,12,10737.479999999998
99,1,4198.408148148148
99,2,3502.8299999999995
99,3,4448.40925925926
99,4,4167.974814814815
99,5,6333.580000000001
99,6,6354.376428571428
99,7,5046.262142857144
99,8,6079.736071428572
99,9,4737.629285714284
99,10,5135.511851851852
99,11,6121.892962962964
99,12,15567.693571428561
103,1,7033.346112956813
103,2,5213.06460784314
103,3,6425.369999999996
103,4,6676.876241610729
103,5,10242.540333333327
103,6,8549.85255737705
103,7,6664.7322591362135
103,8,8210.930167785233
103,9,6795.600131578945
103,10,6867.184033333334
103,11,8175.233289036538
103,12,14434.695863192179
2368,1,7033.346112956813
2368,2,5213.06460784314
2368,3,6425.369999999996
2368,4,6676.876241610729
2368,5,10242.540333333327
2368,6,8549.85255737705
2368,7,6664.7322591362135
2368,8,8210.930167785233
2368,9,6795.600131578945
2368,10,6867.184033333334
2368,11,8175.233289036538
2368,12,14434.695863192179
106,1,4582.858899082571
106,2,3986.2574766355146
106,3,4995.101142857144
106,4,4959.894579439252
106,5,7577.946605504589
106,6,6839.454727272728
106,7,4939.929449541284
106,8,6004.296944444442
106,9,4736.3520183486235
106,10,4744.032190476191
106,11,6006.021250000001
106,12,11908.865046728966
117,1,12104.03598130841
117,2,10030.16532110091
117,3,12043.8766972477
117,4,11826.737982456136
117,5,17231.582568807335
117,6,14388.375438596493
117,7,11338.9209009009
117,8,12832.303130434782
117,9,11432.961999999998
117,10,11691.319553571424
117,11,14647.809285714278
117,12,23390.307981651367
1842,1,12104.03598130841
1842,2,10030.16532110091
1842,3,12043.8766972477
1842,4,11826.737982456136
1842,5,17231.582568807335
1842,6,14388.375438596493
1842,7,11338.9209009009
1842,8,12832.303130434782
1842,9,11432.961999999998
1842,10,11691.319553571424
1842,11,14647.809285714278
1842,12,23390.307981651367
119,1,2794.3004487179483
119,2,2442.402666666666
119,3,2772.522802547771
119,4,2642.9009032258064
119,5,3568.578496732026
119,6,3164.0592948717954
119,7,2826.2281935483884
119,8,3232.6314556962016
119,9,2762.269741935484
119,10,2774.779144736842
119,11,3875.6516993464065
119,12,8063.6772839506175
1598,1,2794.3004487179483
1598,2,2442.402666666666
1598,3,2772.522802547771
1598,4,2642.9009032258064
1598,5,3568.578496732026
1598,6,3164.0592948717954
1598,7,2826.2281935483884
1598,8,3232.6314556962016
1598,9,2762.269741935484
1598,10,2774.779144736842
1598,11,3875.6516993464065
1598,12,8063.6772839506175
127,1,2415.7225000000003
127,2,2261.6317857142853
127,3,2904.715185185185
127,4,2410.051851851852
127,5,3853.28925925926
127,6,3449.0696296296287
127,7,2272.8562962962965
127,8,3164.2148148148153
127,9,2195.5803571428573
127,10,2377.418571428572
127,11,2868.9981481481477
127,12,8624.71392857143
129,1,9210.384918032782
129,2,7218.453209549067
129,3,8660.703333333331
129,4,8554.333804627242
129,5,12329.2334351145
129,6,10173.253410256413
129,7,8587.681076923078
129,8,10829.366606217618
129,9,8709.368031088088
129,10,9271.91028497409
129,11,10888.848782383428
129,12,21782.85898701298
220,1,9210.384918032782
220,2,7218.453209549067
220,3,8660.703333333331
220,4,8554.333804627242
220,5,12329.2334351145
220,6,10173.253410256413
220,7,8587.681076923078
220,8,10829.366606217618
220,9,8709.368031088088
220,10,9271.91028497409
220,11,10888.848782383428
220,12,21782.85898701298
2128,1,9210.384918032782
2128,2,7218.453209549067
2128,3,8660.703333333331
2128,4,8554.333804627242
2128,5,12329.2334351145
2128,6,10173.253410256413
2128,7,8587.681076923078
2128,8,10829.366606217618
2128,9,8709.368031088088
2128,10,9271.91028497409
2128,11,10888.848782383428
2128,12,21782.85898701298
2463,1,9210.384918032782
2463,2,7218.453209549067
2463,3,8660.703333333331
2463,4,8554.333804627242
2463,5,12329.2334351145
2463,6,10173.253410256413
2463,7,8587.681076923078
2463,8,10829.366606217618
2463,9,8709.368031088088
2463,10,9271.91028497409
2463,11,10888.848782383428
2463,12,21782.85898701298
132,1,4155.066851851852
132,2,3026.1383928571427
132,3,3439.027407407409
132,4,3940.991454545455
132,5,5021.4672727272755
132,6,4273.920545454544
132,7,3626.4423636363636
132,8,4749.429821428568
132,9,3830.4709259259243
132,10,3719.7750909090914
132,11,4724.202407407409
132,12,7984.747962962962
178,1,7727.246491545888
178,2,6483.081762954137
178,3,7745.515885885898
178,4,7528.499232628399
178,5,11576.74703703704
178,6,9969.159104829205
178,7,7566.437881305637
178,8,9212.328341260403
178,9,7772.380368171026
178,10,7938.924937537192
178,11,10006.393896330825
178,12,21265.142524781375
636,1,7727.246491545888
636,2,6483.081762954137
636,3,7745.515885885898
636,4,7528.499232628399
636,5,11576.74703703704
636,6,9969.159104829205
636,7,7566.437881305637
636,8,9212.328341260403
636,9,7772.380368171026
636,10,7938.924937537192
636,11,10006.393896330825
636,12,21265.142524781375
1153,1,7727.246491545888
1153,2,6483.081762954137
1153,3,7745.515885885898
1153,4,7528.499232628399
1153,5,11576.74703703704
1153,6,9969.159104829205
1153,7,7566.437881305637
1153,8,9212.328341260403
1153,9,7772.380368171026
1153,10,7938.924937537192
1153,11,10006.393896330825
1153,12,21265.142524781375
1390,1,7727.246491545888
1390,2,6483.081762954137
1390,3,7745.515885885898
1390,4,7528.499232628399
1390,5,11576.74703703704
1390,6,9969.159104829205
1390,7,7566.437881305637
1390,8,9212.328341260403
