,cod_loja,mes,cnt_feriados
155,55,12,1.0
156,55,1,1.0
157,55,2,0.0
158,55,3,0.0
159,55,4,1.0
160,55,5,1.0
161,55,6,0.0
162,55,7,1.0
163,55,8,0.0
164,55,9,1.0
165,55,10,1.0
166,55,11,2.0
167,55,12,1.0
168,64,1,1.0
169,64,2,0.0
170,64,3,0.0
171,64,4,1.0
172,64,5,1.0
173,64,6,0.0
174,64,7,1.0
175,64,8,0.0
176,64,9,1.0
177,64,10,1.0
178,64,11,2.0
179,64,12,1.0
180,64,1,1.0
181,64,2,0.0
182,64,3,0.0
183,64,4,1.0
184,64,5,1.0
185,64,6,0.0
186,64,7,1.0
187,64,8,0.0
188,64,9,1.0
189,64,10,1.0
190,64,11,2.0
191,64,12,1.0
192,73,1,1.0
193,73,2,0.0
194,73,3,0.0
195,73,4,1.0
196,73,5,1.0
197,73,6,0.0
198,73,7,1.0
199,73,8,0.0
200,73,9,1.0
201,73,10,1.0
202,73,11,2.0
203,73,12,1.0
204,73,1,1.0
205,73,2,0.0
206,73,3,0.0
207,73,4,1.0
208,73,5,1.0
209,73,6,0.0
210,73,7,1.0
211,73,8,0.0
212,73,9,1.0
213,73,10,1.0
214,73,11,2.0
215,73,12,1.0
216,75,1,1.0
217,75,2,0.0
218,75,3,1.0
219,75,4,1.0
220,75,5,1.0
221,75,6,0.0
222,75,7,0.0
223,75,8,0.0
224,75,9,1.0
225,75,10,1.0
226,75,11,2.0
227,75,12,1.0
228,75,1,1.0
229,75,2,0.0
230,75,3,1.0
231,75,4,1.0
232,75,5,1.0
233,75,6,0.0
234,75,7,0.0
235,75,8,0.0
236,75,9,1.0
237,75,10,1.0
238,75,11,2.0
239,75,12,1.0
240,82,1,1.0
241,82,2,0.0
242,82,3,0.0
243,82,4,2.0
244,82,5,1.0
245,82,6,0.0
246,82,7,0.0
247,82,8,0.0
248,82,9,1.0
249,82,10,1.0
250,82,11,2.0
251,82,12,1.0
252,82,1,1.0
253,82,2,0.0
254,82,3,0.0
255,82,4,2.0
256,82,5,1.0
257,82,6,0.0
258,82,7,0.0
259,82,8,0.0
260,82,9,1.0
261,82,10,1.0
262,82,11,2.0
263,82,12,1.0
264,84,1,1.0
265,84,2,0.0
266,84,3,0.0
267,84,4,2.0
268,84,5,1.0
269,84,6,0.0
270,84,7,0.0
271,84,8,0.0
272,84,9,1.0
273,84,10,1.0
274,84,11,2.0
275,84,12,1.0
276,84,1,1.0
277,84,2,0.0
278,84,3,0.0
279,84,4,2.0
280,84,5,1.0
281,84,6,0.0
282,84,7,0.0
283,84,8,0.0
284,84,9,1.0
285,84,10,1.0
286,84,11,2.0
287,84,12,1.0
288,87,1,1.0
289,87,2,0.0
290,87,3,0.0
291,87,4,2.0
292,87,5,1.0
293,87,6,0.0
294,87,7,0.0
295,87,8,0.0
296,87,9,1.0
297,87,10,1.0
298,87,11,2.0
299,87,12,1.0
300,87,1,1.0
301,87,2,0.0
302,87,3,0.0
303,87,4,2.0
304,87,5,1.0
305,87,6,0.0
306,87,7,0.0
307,87,8,0.0
308,87,9,1.0
309,87,10,1.0
310,87,11,2.0
311,87,12,1.0
312,99,1,1.0
313,99,2,0.0
314,99,3,0.0
315,99,4,2.0
316,99,5,1.0
317,99,6,0.0
318,99,7,0.0
319,99,8,0.0
320,99,9,1.0
321,99,10,1.0
322,99,11,2.0
323,99,12,1.0
324,99,1,1.0
325,99,2,0.0
326,99,3,0.0
327,99,4,2.0
328,99,5,1.0
329,99,6,0.0
330,99,7,0.0
331,99,8,0.0
332,99,9,1.0
333,99,10,1.0
334,99,11,2.0
335,99,12,1.0
336,103,1,1.0
337,103,2,0.0
338,103,3,0.0
339,103,4,1.0
340,103,5,1.0
341,103,6,0.0
342,103,7,0.0
343,103,8,0.0
344,103,9,1.0
345,103,10,1.0
346,103,11,2.0
347,103,12,1.0
348,103,1,1.0
349,103,2,0.0
350,103,3,0.0
351,103,4,1.0
352,103,5,1.0
353,103,6,0.0
354,103,7,0.0
355,103,8,0.0
356,103,9,1.0
357,103,10,1.0
358,103,11,2.0
359,103,12,1.0
360,106,1,1.0
361,106,2,0.0
362,106,3,0.0
363,106,4,1.0
364,106,5,1.0
365,106,6,0.0
366,106,7,0.0
367,106,8,0.0
368,106,9,1.0
369,106,10,1.0
370,106,11,2.0
371,106,12,1.0
372,106,1,1.0
373,106,2,0.0
374,106,3,0.0
375,106,4,1.0
376,106,5,1.0
377,106,6,0.0
378,106,7,0.0
379,106,8,0.0
380,106,9,1.0
381,106,10,1.0
382,106,11,2.0
383,106,12,1.0
384,117,1,1.0
385,117,2,0.0
386,117,3,1.0
387,117,4,1.0
388,117,5,1.0
389,117,6,0.0
390,117,7,0.0
391,117,8,0.0
392,117,9,2.0
393,117,10,2.0
394,117,11,2.0
395,117,12,1.0
396,117,1,1.0
397,117,2,0.0
398,117,3,1.0
399,117,4,1.0
400,117,5,1.0
401,117,6,0.0
402,117,7,0.0
403,117,8,0.0
404,117,9,2.0
405,117,10,2.0
406,117,11,2.0
407,117,12,1.0
408,119,1,1.0
409,119,2,0.0
410,119,3,0.0
411,119,4,1.0
412,119,5,1.0
413,119,6,0.0
414,119,7,0.0
415,119,8,1.0
416,119,9,1.0
417,119,10,1.0
418,119,11,3.0
419,119,12,1.0
420,119,1,1.0
421,119,2,0.0
422,119,3,0.0
423,119,4,1.0
424,119,5,1.0
425,119,6,0.0
426,119,7,0.0
427,119,8,1.0
428,119,9,1.0
429,119,10,1.0
430,119,11,3.0
431,119,12,1.0
432,127,1,1.0
433,127,2,0.0
434,127,3,0.0
435,127,4,1.0
436,127,5,1.0
437,127,6,0.0
438,127,7,0.0
439,127,8,0.0
440,127,9,1.0
441,127,10,1.0
442,127,11,2.0
443,127,12,2.0
444,127,1,1.0
445,127,2,0.0
446,127,3,0.0
447,127,4,1.0
448,127,5,1.0
449,127,6,0.0
450,127,7,0.0
451,127,8,0.0
452,127,9,1.0
453,127,10,1.0
454,127,11,2.0
455,127,12,2.0
456,129,1,1.0
457,129,2,0.0
458,129,3,0.0
459,129,4,1.0
460,129,5,1.0
461,129,6,0.0
462,129,7,0.0
463,129,8,0.0
464,129,9,1.0
465,129,10,1.0
466,129,11,2.0
467,129,12,2.0
468,129,1,1.0
469,129,2,0.0
470,129,3,0.0
471,129,4,1.0
472,129,5,1.0
473,129,6,0.0
474,129,7,0.0
475,129,8,0.0
476,129,9,1.0
477,129,10,1.0
478,129,11,2.0
479,129,12,2.0
480,132,1,1.0
481,132,2,0.0
482,132,3,0.0
483,132,4,1.0
484,132,5,1.0
485,132,6,0.0
486,132,7,0.0
487,132,8,0.0
488,132,9,1.0
489,132,10,1.0
490,132,11,2.0
491,132,12,2.0
492,132,1,1.0
493,132,2,0.0
494,132,3,0.0
495,132,4,1.0
496,132,5,1.0
497,132,6,0.0
498,132,7,0.0
499,132,8,0.0
500,132,9,1.0
501,132,10,1.0
502,132,11,2.0
503,132,12,2.0
504,178,1,1.0
505,178,2,0.0
506,178,3,0.0
507,178,4,2.0
508,178,5,1.0
509,178,6,0.0
510,178,7,0.0
511,178,8,0.0
512,178,9,1.0
513,178,10,1.0
514,178,11,2.0
515,178,12,1.0
516,178,1,1.0
517,178,2,0.0
518,178,3,0.0
519,178,4,2.0
520,178,5,1.0
521,178,6,0.0
522,178,7,0.0
523,178,8,0.0
524,178,9,1.0
525,178,10,1.0
526,178,11,2.0
527,178,12,1.0
528,200,1,1.0
529,200,2,0.0
530,200,3,0.0
531,200,4,1.0
532,200,5,1.0
533,200,6,0.0
534,200,7,0.0
535,200,8,0.0
536,200,9,1.0
537,200,10,1.0
538,200,11,2.0
539,200,12,2.0
540,200,1,1.0
541,200,2,0.0
542,200,3,0.0
543,200,4,1.0
544,200,5,1.0
545,200,6,0.0
546,200,7,0.0
547,200,8,0.0
548,200,9,1.0
549,200,10,1.0
550,200,11,2.0
551,200,12,2.0
552,201,1,1.0
553,201,2,0.0
554,201,3,0.0
555,201,4,1.0
556,201,5,1.0
557,201,6,0.0
558,201,7,0.0
559,201,8,0.0
560,201,9,1.0
561,201,10,1.0
562,201,11,2.0
563,201,12,1.0
564,201,1,1.0
565,201,2,0.0
566,201,3,0.0
567,201,4,1.0
568,201,5,1.0
569,201,6,0.0
570,201,7,0.0
571,201,8,0.0
572,201,9,1.0
573,201,10,1.0
574,201,11,2.0
575,201,12,1.0
576,202,1,1.0
577,202,2,0.0
578,202,3,0.0
579,202,4,2.0
580,202,5,1.0
581,202,6,0.0
582,202,7,0.0
583,202,8,0.0
584,202,9,1.0
585,202,10,1.0
586,202,11,2.0
587,202,12,1.0
588,202,1,1.0
589,202,2,0.0
590,202,3,0.0
591,202,4,2.0
592,202,5,1.0
593,202,6,0.0
594,202,7,0.0
595,202,8,0.0
596,202,9,1.0
597,202,10,1.0
598,202,11,2.0
599,202,12,1.0
600,203,1,1.0
601,203,2,0.0
602,203,3,0.0
603,203,4,1.0
604,203,5,1.0
605,203,6,0.0
606,203,7,1.0
607,203,8,0.0
608,203,9,1.0
609,203,10,1.0
610,203,11,2.0
611,203,12,1.0
612,203,1,1.0
613,203,2,0.0
614,203,3,0.0
615,203,4,1.0
616,203,5,1.0
617,203,6,0.0
618,203,7,1.0
619,203,8,0.0
620,203,9,1.0
621,203,10,1.0
622,203,11,2.0
623,203,12,1.0
624,206,1,1.0
625,206,2,0.0
626,206,3,0.0
627,206,4,2.0
628,206,5,1.0
629,206,6,0.0
630,206,7,0.0
631,206,8,0.0
632,206,9,1.0
633,206,10,1.0
634,206,11,2.0
635,206,12,1.0
636,206,1,1.0
637,206,2,0.0
638,206,3,0.0
639,206,4,2.0
640,206,5,1.0
641,206,6,0.0
642,206,7,0.0
643,206,8,0.0
644,206,9,1.0
645,206,10,1.0
646,206,11,2.0
647,206,12,1.0
648,213,1,1.0
649,213,2,0.0
650,213,3,0.0
651,213,4,2.0
652,213,5,1.0
653,213,6,0.0
654,213,7,0.0
655,213,8,0.0
656,213,9,1.0
657,213,10,1.0
658,213,11,2.0
659,213,12,1.0
660,213,1,1.0
661,213,2,0.0
662,213,3,0.0
663,213,4,2.0
664,213,5,1.0
665,213,6,0.0
666,213,7,0.0
667,213,8,0.0
668,213,9,1.0
669,213,10,1.0
670,213,11,2.0
671,213,12,1.0
672,215,1,1.0
673,215,2,0.0
674,215,3,0.0
675,215,4,1.0
676,215,5,1.0
677,215,6,0.0
678,215,7,1.0
679,215,8,0.0
680,215,9,1.0
681,215,10,1.0
682,215,11,2.0
683,215,12,1.0
684,215,1,1.0
685,215,2,0.0
686,215,3,0.0
687,215,4,1.0
688,215,5,1.0
689,215,6,0.0
690,215,7,1.0
691,215,8,0.0
692,215,9,1.0
693,215,10,1.0
694,215,11,2.0
695,215,12,1.0
696,220,1,1.0
697,220,2,0.0
698,220,3,0.0
699,220,4,1.0
700,220,5,1.0
701,220,6,0.0
702,220,7,0.0
703,220,8,0.0
704,220,9,1.0
705,220,10,1.0
706,220,11,2.0
707,220,12,2.0
708,220,1,1.0
709,220,2,0.0
710,220,3,0.0
711,220,4,1.0
712,220,5,1.0
713,220,6,0.0
714,220,7,0.0
715,220,8,0.0
716,220,9,1.0
717,220,10,1.0
718,220,11,2.0
719,220,12,2.0
720,232,1,1.0
721,232,2,0.0
722,232,3,0.0
723,232,4,1.0
724,232,5,1.0
725,232,6,0.0
726,232,7,1.0
727,232,8,0.0
728,232,9,1.0
729,232,10,1.0
730,232,11,2.0
731,232,12,1.0
732,232,1,1.0
733,232,2,0.0
734,232,3,0.0
735,232,4,1.0
736,232,5,1.0
737,232,6,0.0
738,232,7,1.0
739,232,8,0.0
740,232,9,1.0
741,232,10,1.0
742,232,11,2.0
743,232,12,1.0
744,234,1,1.0
745,234,2,0.0
746,234,3,0.0
747,234,4,1.0
748,234,5,1.0
749,234,6,0.0
750,234,7,0.0
751,234,8,0.0
752,234,9,1.0
753,234,10,1.0
754,234,11,3.0
755,234,12,1.0
756,234,1,1.0
757,234,2,0.0
758,234,3,0.0
759,234,4,1.0
760,234,5,1.0
761,234,6,0.0
762,234,7,0.0
763,234,8,0.0
764,234,9,1.0
765,234,10,1.0
766,234,11,3.0
767,234,12,1.0
768,235,1,1.0
769,235,2,0.0
770,235,3,0.0
771,235,4,1.0
772,235,5,1.0
773,235,6,0.0
774,235,7,0.0
775,235,8,0.0
776,235,9,2.0
777,235,10,1.0
778,235,11,2.0
779,235,12,1.0
780,235,1,1.0
781,235,2,0.0
782,235,3,0.0
783,235,4,1.0
784,235,5,1.0
785,235,6,0.0
786,235,7,0.0
787,235,8,0.0
788,235,9,2.0
789,235,10,1.0
790,235,11,2.0
791,235,12,1.0
792,240,1,1.0
793,240,2,0.0
794,240,3,0.0
795,240,4,1.0
796,240,5,1.0
797,240,6,0.0
798,240,7,0.0
799,240,8,0.0
800,240,9,1.0
801,240,10,2.0
802,240,11,2.0
803,240,12,1.0
804,240,1,1.0
805,240,2,0.0
806,240,3,0.0
807,240,4,1.0
808,240,5,1.0
809,240,6,0.0
810,240,7,0.0
811,240,8,0.0
812,240,9,1.0
813,240,10,2.0
814,240,11,2.0
815,240,12,1.0
816,241,1,1.0
817,241,2,0.0
818,241,3,0.0
819,241,4,1.0
820,241,5,1.0
821,241,6,0.0
822,241,7,0.0
823,241,8,0.0
824,241,9,1.0
825,241,10,2.0
826,241,11,2.0
827,241,12,1.0
828,241,1,1.0
829,241,2,0.0
830,241,3,0.0
831,241,4,1.0
832,241,5,1.0
833,241,6,0.0
834,241,7,0.0
835,241,8,0.0
836,241,9,1.0
837,241,10,2.0
838,241,11,2.0
839,241,12,1.0
840,242,1,1.0
841,242,2,0.0
842,242,3,0.0
843,242,4,1.0
844,242,5,1.0
845,242,6,0.0
846,242,7,1.0
847,242,8,0.0
848,242,9,1.0
849,242,10,1.0
850,242,11,2.0
851,242,12,1.0
852,242,1,1.0
853,242,2,0.0
854,242,3,0.0
855,242,4,1.0
856,242,5,1.0
857,242,6,0.0
858,242,7,1.0
859,242,8,0.0
860,242,9,1.0
861,242,10,1.0
862,242,11,2.0
863,242,12,1.0
864,254,1,1.0
865,254,2,0.0
866,254,3,0.0
867,254,4,2.0
868,254,5,1.0
869,254,6,0.0
870,254,7,0.0
871,254,8,0.0
872,254,9,1.0
873,254,10,1.0
874,254,11,3.0
875,254,12,1.0
876,254,1,1.0
877,254,2,0.0
878,254,3,0.0
879,254,4,2.0
880,254,5,1.0
881,254,6,0.0
882,254,7,0.0
883,254,8,0.0
884,254,9,1.0
885,254,10,1.0
886,254,11,3.0
887,254,12,1.0
888,255,1,1.0
889,255,2,0.0
890,255,3,0.0
891,255,4,1.0
892,255,5,1.0
893,255,6,0.0
894,255,7,0.0
895,255,8,0.0
896,255,9,2.0
897,255,10,1.0
898,255,11,2.0
899,255,12,1.0
900,255,1,1.0
901,255,2,0.0
902,255,3,0.0
903,255,4,1.0
904,255,5,1.0
905,255,6,0.0
906,255,7,0.0
907,255,8,0.0
908,255,9,2.0
909,255,10,1.0
910,255,11,2.0
911,255,12,1.0
912,261,1,1.0
913,261,2,0.0
914,261,3,0.0
915,261,4,1.0
916,261,5,1.0
917,261,6,0.0
918,261,7,0.0
919,261,8,0.0
920,261,9,1.0
921,261,10,1.0
922,261,11,2.0
923,261,12,2.0
924,261,1,1.0
925,261,2,0.0
926,261,3,0.0
927,261,4,1.0
928,261,5,1.0
929,261,6,0.0
930,261,7,0.0
931,261,8,0.0
932,261,9,1.0
933,261,10,1.0
934,261,11,2.0
935,261,12,2.0
936,262,1,1.0
937,262,2,0.0
938,262,3,0.0
939,262,4,1.0
940,262,5,1.0
941,262,6,0.0
942,262,7,0.0
943,262,8,0.0
944,262,9,2.0
945,262,10,1.0
946,262,11,2.0
947,262,12,1.0
948,262,1,1.0
949,262,2,0.0
950,262,3,0.0
951,262,4,1.0
952,262,5,1.0
953,262,6,0.0
954,262,7,0.0
955,262,8,0.0
956,262,9,2.0
957,262,10,1.0
958,262,11,2.0
959,262,12,1.0
960,272,1,1.0
961,272,2,0.0
962,272,3,0.0
963,272,4,1.0
964,272,5,1.0
965,272,6,0.0
966,272,7,1.0
967,272,8,0.0
968,272,9,1.0
969,272,10,1.0
970,272,11,2.0
971,272,12,1.0
972,272,1,1.0
973,272,2,0.0
974,272,3,0.0
975,272,4,1.0
976,272,5,1.0
977,272,6,0.0
978,272,7,1.0
979,272,8,0.0
980,272,9,1.0
981,272,10,1.0
982,272,11,2.0
983,272,12,1.0
984,278,1,1.0
985,278,2,0.0
986,278,3,0.0
987,278,4,2.0
988,278,5,1.0
989,278,6,0.0
990,278,7,0.0
991,278,8,0.0
992,278,9,1.0
993,278,10,1.0
994,278,11,2.0
995,278,12,1.0
996,278,1,1.0
997,278,2,0.0
998,278,3,0.0
999,278,4,2.0
1000,278,5,1.0
1001,278,6,0.0
1002,278,7,0.0
1003,278,8,0.0
1004,278,9,1.0
1005,278,10,1.0
1006,278,11,2.0
1007,278,12,1.0
1008,285,1,1.0
1009,285,2,0.0
1010,285,3,0.0
1011,285,4,1.0
1012,285,5,1.0
1013,285,6,0.0
1014,285,7,1.0
1015,285,8,0.0
1016,285,9,1.0
1017,285,10,1.0
1018,285,11,2.0
1019,285,12,1.0
1020,285,1,1.0
1021,285,2,0.0
1022,285,3,0.0
1023,285,4,1.0
1024,285,5,1.0
1025,285,6,0.0
1026,285,7,1.0
1027,285,8,0.0
1028,285,9,1.0
1029,285,10,1.0
1030,285,11,2.0
1031,285,12,1.0
1032,300,1,1.0
1033,300,2,0.0
1034,300,3,0.0
1035,300,4,1.0
1036,300,5,1.0
1037,300,6,0.0
1038,300,7,1.0
1039,300,8,0.0
1040,300,9,1.0
1041,300,10,1.0
1042,300,11,2.0
1043,300,12,1.0
1044,300,1,1.0
1045,300,2,0.0
1046,300,3,0.0
1047,300,4,1.0
1048,300,5,1.0
1049,300,6,0.0
1050,300,7,1.0
1051,300,8,0.0
1052,300,9,1.0
1053,300,10,1.0
1054,300,11,2.0
1055,300,12,1.0
1056,302,1,1.0
1057,302,2,0.0
1058,302,3,0.0
1059,302,4,2.0
1060,302,5,1.0
1061,302,6,0.0
1062,302,7,0.0
1063,302,8,0.0
1064,302,9,1.0
1065,302,10,1.0
1066,302,11,2.0
1067,302,12,1.0
1068,302,1,1.0
1069,302,2,0.0
1070,302,3,0.0
1071,302,4,2.0
1072,302,5,1.0
1073,302,6,0.0
1074,302,7,0.0
1075,302,8,0.0
1076,302,9,1.0
1077,302,10,1.0
1078,302,11,2.0
1079,302,12,1.0
1080,303,1,1.0
1081,303,2,0.0
1082,303,3,1.0
1083,303,4,1.0
1084,303,5,1.0
1085,303,6,0.0
1086,303,7,0.0
1087,303,8,0.0
1088,303,9,2.0
1089,303,10,2.0
1090,303,11,2.0
1091,303,12,1.0
1092,303,1,1.0
1093,303,2,0.0
1094,303,3,1.0
1095,303,4,1.0
1096,303,5,1.0
1097,303,6,0.0
1098,303,7,0.0
1099,303,8,0.0
1100,303,9,2.0
1101,303,10,2.0
1102,303,11,2.0
1103,303,12,1.0
1104,308,1,1.0
1105,308,2,0.0
1106,308,3,0.0
1107,308,4,1.0
1108,308,5,1.0
1109,308,6,0.0
1110,308,7,1.0
1111,308,8,0.0
1112,308,9,1.0
1113,308,10,1.0
1114,308,11,2.0
1115,308,12,1.0
1116,308,1,1.0
1117,308,2,0.0
1118,308,3,0.0
1119,308,4,1.0
1120,308,5,1.0
1121,308,6,0.0
1122,308,7,1.0
1123,308,8,0.0
1124,308,9,1.0
1125,308,10,1.0
1126,308,11,2.0
1127,308,12,1.0
1128,315,1,1.0
1129,315,2,0.0
1130,315,3,0.0
1131,315,4,1.0
1132,315,5,1.0
1133,315,6,0.0
1134,315,7,1.0
1135,315,8,0.0
1136,315,9,1.0
1137,315,10,1.0
1138,315,11,2.0
1139,315,12,1.0
1140,315,1,1.0
1141,315,2,0.0
1142,315,3,0.0
1143,315,4,1.0
1144,315,5,1.0
1145,315,6,0.0
1146,315,7,1.0
1147,315,8,0.0
1148,315,9,1.0
1149,315,10,1.0
1150,315,11,2.0
1151,315,12,1.0
1152,323,1,1.0
1153,323,2,0.0
1154,323,3,0.0
1155,323,4,1.0
1156,323,5,1.0
1157,323,6,0.0
1158,323,7,0.0
1159,323,8,1.0
1160,323,9,1.0
1161,323,10,1.0
1162,323,11,3.0
1163,323,12,1.0
1164,323,1,1.0
1165,323,2,0.0
1166,323,3,0.0
1167,323,4,1.0
1168,323,5,1.0
1169,323,6,0.0
1170,323,7,0.0
1171,323,8,1.0
1172,323,9,1.0
1173,323,10,1.0
1174,323,11,3.0
1175,323,12,1.0
1176,327,1,1.0
1177,327,2,0.0
1178,327,3,0.0
1179,327,4,1.0
1180,327,5,1.0
1181,327,6,0.0
1182,327,7,1.0
1183,327,8,0.0
1184,327,9,1.0
1185,327,10,1.0
1186,327,11,2.0
1187,327,12,1.0
1188,327,1,1.0
1189,327,2,0.0
1190,327,3,0.0
1191,327,4,1.0
1192,327,5,1.0
1193,327,6,0.0
1194,327,7,1.0
1195,327,8,0.0
1196,327,9,1.0
1197,327,10,1.0
1198,327,11,2.0
1199,327,12,1.0
1200,333,1,1.0
1201,333,2,0.0
1202,333,3,0.0
1203,333,4,1.0
1204,333,5,1.0
1205,333,6,0.0
1206,333,7,1.0
1207,333,8,0.0
1208,333,9,1.0
1209,333,10,1.0
1210,333,11,2.0
1211,333,12,1.0
1212,333,1,1.0
1213,333,2,0.0
1214,333,3,0.0
1215,333,4,1.0
1216,333,5,1.0
1217,333,6,0.0
1218,333,7,1.0
1219,333,8,0.0
1220,333,9,1.0
1221,333,10,1.0
1222,333,11,2.0
1223,333,12,1.0
1224,334,1,1.0
1225,334,2,0.0
1226,334,3,0.0
1227,334,4,1.0
1228,334,5,1.0
1229,334,6,0.0
1230,334,7,1.0
1231,334,8,0.0
1232,334,9,1.0
1233,334,10,1.0
1234,334,11,2.0
1235,334,12,1.0
1236,334,1,1.0
1237,334,2,0.0
1238,334,3,0.0
1239,334,4,1.0
1240,334,5,1.0
1241,334,6,0.0
1242,334,7,1.0
1243,334,8,0.0
1244,334,9,1.0
1245,334,10,1.0
1246,334,11,2.0
1247,334,12,1.0
1248,339,1,1.0
1249,339,2,0.0
1250,339,3,0.0
1251,339,4,1.0
1252,339,5,1.0
1253,339,6,0.0
1254,339,7,0.0
1255,339,8,0.0
1256,339,9,1.0
1257,339,10,2.0
1258,339,11,2.0
1259,339,12,1.0
1260,339,1,1.0
1261,339,2,0.0
1262,339,3,0.0
1263,339,4,1.0
1264,339,5,1.0
1265,339,6,0.0
1266,339,7,0.0
1267,339,8,0.0
1268,339,9,1.0
1269,339,10,2.0
1270,339,11,2.0
1271,339,12,1.0
1272,344,1,1.0
1273,344,2,0.0
1274,344,3,0.0
1275,344,4,1.0
1276,344,5,1.0
1277,344,6,0.0
1278,344,7,0.0
1279,344,8,0.0
1280,344,9,1.0
1281,344,10,1.0
1282,344,11,2.0
1283,344,12,1.0
1284,344,1,1.0
1285,344,2,0.0
1286,344,3,0.0
1287,344,4,1.0
1288,344,5,1.0
1289,344,6,0.0
1290,344,7,0.0
1291,344,8,0.0
1292,344,9,1.0
1293,344,10,1.0
1294,344,11,2.0
1295,344,12,1.0
1296,353,1,1.0
1297,353,2,0.0
1298,353,3,0.0
1299,353,4,1.0
1300,353,5,1.0
1301,353,6,0.0
1302,353,7,1.0
1303,353,8,0.0
1304,353,9,1.0
1305,353,10,1.0
1306,353,11,2.0
1307,353,12,1.0
1308,353,1,1.0
1309,353,2,0.0
1310,353,3,0.0
1311,353,4,1.0
1312,353,5,1.0
1313,353,6,0.0
1314,353,7,1.0
1315,353,8,0.0
1316,353,9,1.0
1317,353,10,1.0
1318,353,11,2.0
1319,353,12,1.0
1320,355,1,1.0
1321,355,2,0.0
1322,355,3,0.0
1323,355,4,1.0
1324,355,5,1.0
1325,355,6,0.0
1326,355,7,0.0
1327,355,8,0.0
1328,355,9,1.0
1329,355,10,2.0
1330,355,11,2.0
1331,355,12,2.0
1332,355,1,1.0
1333,355,2,0.0
1334,355,3,0.0
1335,355,4,1.0
1336,355,5,1.0
1337,355,6,0.0
1338,355,7,0.0
1339,355,8,0.0
1340,355,9,1.0
1341,355,10,2.0
1342,355,11,2.0
1343,355,12,2.0
1344,375,1,1.0
1345,375,2,0.0
1346,375,3,0.0
1347,375,4,1.0
1348,375,5,1.0
1349,375,6,0.0
1350,375,7,0.0
1351,375,8,0.0
1352,375,9,2.0
1353,375,10,1.0
1354,375,11,2.0
1355,375,12,1.0
1356,375,1,1.0
1357,375,2,0.0
1358,375,3,0.0
1359,375,4,1.0
